,alpha_gross_units,units,abs_pct_err,abs_err
9A5FHRC,0.0,0.0,0.0,0.0
9DMG2PU,0.0,0.0,0.0,0.0
9EAHMFF,0.0,0.0,0.0,0.0
9EFTVA4,2195.0,1791.0,0.18397085610200364,404.0
9EHZARM,0.0,0.0,0.0,0.0
9F2TTZW,0.0,0.0,0.0,0.0
9G2EDSH,0.0,0.0,0.0,0.0
9GGXGHF,0.0,0.0,0.0,0.0
9GH23W9,2.0,0.0,0.6666666666666666,2.0
9GJFV3P,50.0,59.0,0.17647058823529413,9.0
9GUTVDT,2473.0,795.0,0.6782538399353274,1678.0
9HQHTU7,2.0,0.0,0.6666666666666666,2.0
9HRWFZ9,0.0,0.0,0.0,0.0
9JVZK6Z,0.0,0.0,0.0,0.0
9KQHT8Z,0.0,0.0,0.0,0.0
9KS2XGR,0.0,0.0,0.0,0.0
9MSXBVF,0.0,0.0,0.0,0.0
9N4JZ43,0.0,0.0,0.0,0.0
9PRH9KD,0.0,0.0,0.0,0.0
9QZYSZX,2.0,1.0,0.3333333333333333,1.0
9R3Z7YK,0.0,0.0,0.0,0.0
9RWX6XY,0.0,0.0,0.0,0.0
9SAWYM6,0.0,0.0,0.0,0.0
9TYN6SG,18.0,17.0,0.05263157894736842,1.0
9VBXWA2,0.0,0.0,0.0,0.0
9WQFJZX,1015.0,512.0,0.4950787401574803,503.0
9WVEFYK,6.0,7.0,0.14285714285714285,1.0
9XKW9GD,196.0,26.0,0.8629441624365483,170.0
9XNUTAB,0.0,0.0,0.0,0.0
9Y4CNU2,0.0,0.0,0.0,0.0
9Y5HW9J,0.0,0.0,0.0,0.0
9Z3YUUJ,0.0,0.0,0.0,0.0
9ZHMXAF,398.0,72.0,0.8170426065162907,326.0
A2CZWF2,0.0,0.0,0.0,0.0
A2G5HK4,49.0,54.0,0.1,5.0
A36UB7G,0.0,0.0,0.0,0.0
A3EAPZQ,0.0,0.0,0.0,0.0
A4FVEH7,0.0,0.0,0.0,0.0
A4FWDRE,0.0,0.0,0.0,0.0
A4GMX9E,0.0,0.0,0.0,0.0
A4W3E9S,0.0,0.0,0.0,0.0
A5QKBUW,0.0,0.0,0.0,0.0
A64JFSD,0.0,0.0,0.0,0.0
AAJZZHY,0.0,0.0,0.0,0.0
ABKHZQA,0.0,0.0,0.0,0.0
ABKVFGY,0.0,0.0,0.0,0.0
ACGUGGZ,1.0,0.0,0.5,1.0
ACP42QV,0.0,0.0,0.0,0.0
ACSNZS6,0.0,0.0,0.0,0.0
AEUADQB,2799.0,1179.0,0.5785714285714286,1620.0
AFJN8YA,0.0,0.0,0.0,0.0
AFMAGWR,0.0,1.0,1.0,1.0
AFRFAVC,0.0,0.0,0.0,0.0
AFXSZUX,0.0,0.0,0.0,0.0
AFYBVPC,3.0,2.0,0.25,1.0
AG3FGNW,0.0,0.0,0.0,0.0
AG5GDQS,1.0,0.0,0.5,1.0
AG5XXD4,0.0,0.0,0.0,0.0
AGCXGP8,0.0,0.0,0.0,0.0
AGGPZJY,0.0,0.0,0.0,0.0
AGKGBBW,0.0,0.0,0.0,0.0
AGWBMK7,0.0,0.0,0.0,0.0
AHJVA94,0.0,0.0,0.0,0.0
AHMBASY,3.0,0.0,0.75,3.0
AHRZE9V,0.0,0.0,0.0,0.0
AHXBGYM,0.0,1.0,1.0,1.0
AHZC5DH,0.0,0.0,0.0,0.0
AJ3KHZ2,626.0,607.0,0.030303030303030304,19.0
AKBFZJB,1.0,0.0,0.5,1.0
AKBWGFV,0.0,0.0,0.0,0.0
AKFGHAE,0.0,0.0,0.0,0.0
AKFTYYZ,0.0,0.0,0.0,0.0
AMB6X4F,0.0,0.0,0.0,0.0
AMJVF5U,0.0,0.0,0.0,0.0
AMSCEA4,0.0,0.0,0.0,0.0
AMZ2FKX,0.0,0.0,0.0,0.0
ANGNFTP,0.0,0.0,0.0,0.0
ANGQSKB,0.0,0.0,0.0,0.0
APQTNV5,0.0,0.0,0.0,0.0
AQ4AHWC,0.0,0.0,0.0,0.0
ARDZZJD,7.0,11.0,0.5,4.0
AREFZJG,0.0,0.0,0.0,0.0
ARU2GHY,0.0,0.0,0.0,0.0
ASD9EMY,0.0,0.0,0.0,0.0
ASEDZT7,0.0,0.0,0.0,0.0
ASHH2ZH,0.0,0.0,0.0,0.0
ASPZQHG,0.0,0.0,0.0,0.0
ASXB3BS,1.0,0.0,0.5,1.0
AT4RCE8,0.0,0.0,0.0,0.0
ATJFTGE,0.0,0.0,0.0,0.0
ATKV2TV,0.0,0.0,0.0,0.0
ATPNGVF,0.0,0.0,0.0,0.0
ATQXMWV,0.0,0.0,0.0,0.0
AUEZX6G,1.0,0.0,0.5,1.0
AUMSGZ6,0.0,0.0,0.0,0.0
AVHJYYF,0.0,0.0,0.0,0.0
AVQFBCP,0.0,0.0,0.0,0.0
AVVTUZZ,0.0,0.0,0.0,0.0
AWBRGNH,4.0,6.0,0.4,2.0
AWCVVGZ,0.0,0.0,0.0,0.0
AWGYV9A,0.0,0.0,0.0,0.0
AWQAJDP,0.0,0.0,0.0,0.0
AWUVUDQ,45.0,3.0,0.9130434782608695,42.0
AXBEPXV,0.0,0.0,0.0,0.0
AXUY8NH,830.0,205.0,0.7521058965102286,625.0
AXXB2TH,0.0,0.0,0.0,0.0
AY9A5Z3,6.0,7.0,0.14285714285714285,1.0
AYAEN5R,605.0,707.0,0.16831683168316833,102.0
AYBFUVH,0.0,0.0,0.0,0.0
AYCKA3J,0.0,0.0,0.0,0.0
AYPJHHR,0.0,0.0,0.0,0.0
AYRAGFA,407.0,313.0,0.23039215686274508,94.0
